job_pref,last_yr_income,expected_earn,reasons_to_code,months_programming,bootcamp_attend,age,gender
work for a medium-sized company,75000,80000,To succeed in current career,3,0,38,Female
work for a multinational corporation,80000,100000,To change careers,6,0,34,Male
work for a multinational corporation,8000,1000,To start a business or to freelance,6,0,33,Male
work for a government,51000,60000,To change careers,1,0,45,Male
work for a startup,80000,62000,To change careers,18,1,34,Male
work for a startup,37000,60000,To start a business or to freelance,5,0,28,Male
work for a nonprofit,20000,2000,To start a business or to freelance,1,0,40,Male
work for a medium-sized company,20000,80000,To create art or entertainment,20,0,25,Male
work for a startup,57000,60000,To succeed in current career,4,0,27,Male
work for a nonprofit,18000,45000,To change careers,5,0,32,Female
work for a multinational corporation,84000,140000,To change careers,0,0,33,Female
work for a multinational corporation,94000,120000,As a hobby,6,0,30,Male
work for a startup,1150,12000,To start a business or to freelance,40,0,37,Male
work for a multinational corporation,30000,25000,To change careers,3,0,30,Male
work for a medium-sized company,8488,36000,To change careers,1,0,45,Male
work for a medium-sized company,25000,45000,To change careers,6,0,28,Male
work for a medium-sized company,9600,11530,To change careers,1,0,25,Female
work for a medium-sized company,30000,70000,As a hobby,36,0,38,Male
work for a medium-sized company,40000,50000,To change careers,30,0,26,Male
work for a multinational corporation,30000,60000,To change careers,1,0,22,Female
work for a multinational corporation,60000,80000,To succeed in current career,10,0,27,Male
work for a medium-sized company,6000,12000,To create art or entertainment,18,0,34,Male
work for a nonprofit,35000,55000,To succeed in current career,8,0,30,Male
work for a multinational corporation,38000,50000,To change careers,1,0,25,Male
work for a startup,15000,30000,To start a business or to freelance,0,0,24,Female
work for a multinational corporation,38000,60000,To change careers,5,0,27,Male
work for a startup,2500,60000,To succeed in current career,6,0,28,Male
work for a nonprofit,50000,40000,To change careers,0,0,30,Female
work for a medium-sized company,10000,40000,As a hobby,3,0,31,Male
work for a startup,35000,50000,To change careers,6,0,26,Male
work for a medium-sized company,23000,70000,To create art or entertainment,25,0,31,Male
work for a medium-sized company,47000,3000,To change careers,0,0,29,Female
work for a medium-sized company,60000,75000,To change careers,24,0,31,Male
work for a medium-sized company,10000,60000,To change careers,2,0,36,Female
work for a multinational corporation,119000,120000,To succeed in current career,10,0,56,Male
work for a startup,70000,50000,To change careers,0,0,42,Female
work for a medium-sized company,90000,50000,To change careers,5,0,35,Female
work for a nonprofit,0,50000,To succeed in current career,0,0,22,Male
work for a medium-sized company,11035,30000,To create art or entertainment,32,0,25,Male
work for a medium-sized company,500,4000,To change careers,4,0,28,Male
work for a startup,35000,45000,To succeed in current career,0,0,30,Male
work for a nonprofit,1000,100,To change careers,6,0,32,Male
work for a startup,0,50000,To meet school requirements,48,0,19,Male
work for a nonprofit,20000,30000,To succeed in current career,5,0,33,Male
work for a nonprofit,7200,10000,As a hobby,1,0,25,Male
work for a startup,0,15000,To start a business or to freelance,48,0,19,Male
work for a multinational corporation,4000,13000,As a hobby,7,0,21,Male
work for a multinational corporation,50000,65000,To succeed in current career,1,0,37,Male
work for a medium-sized company,8000,30000,To succeed in current career,24,0,21,Male
work for a medium-sized company,10000,10000,To change careers,3,0,25,Male
work for a medium-sized company,43000,40000,To change careers,24,0,34,Male
work for a government,5000,50000,To change careers,24,0,17,Male
work for a medium-sized company,3100,231,To change careers,36,0,28,Female
work for a government,36000,40000,To change careers,3,0,32,Male
work for a startup,3300,12000,To change careers,0,0,23,Male
work for a medium-sized company,20000,75000,To change careers,3,0,28,Male
work for a medium-sized company,30000,30000,To change careers,4,0,35,Female
work for a medium-sized company,40000,85000,To succeed in current career,24,0,23,Male
work for a medium-sized company,72000,94000,To change careers,48,0,41,Male
work for a multinational corporation,35000,40000,To change careers,1,0,31,Male
work for a multinational corporation,0,1000,As a hobby,12,0,32,Male
work for a nonprofit,38500,50000,To change careers,1,0,33,Female
work for a nonprofit,32000,36000,To change careers,12,0,39,Prefer not to say
work for a multinational corporation,30000,20000,As a hobby,0,0,34,Male
work for a startup,8000,35000,To start a business or to freelance,12,0,33,Male
work for a medium-sized company,2000,20000,To start a business or to freelance,6,0,22,Male
work for a nonprofit,0,81670,To succeed in current career,1,0,39,Female
work for a medium-sized company,40000,60000,To change careers,3,0,33,Male
work for a multinational corporation,45000,40000,To change careers,5,0,29,Male
work for a medium-sized company,10000,15000,To succeed in current career,6,0,28,Male
work for a medium-sized company,20000,30000,To succeed in current career,1,0,37,Male
work for a multinational corporation,0,10000,To succeed in current career,0,0,26,Male
work for a startup,10416,35000,To change careers,0,0,32,Male
work for a medium-sized company,37000,60000,To change careers,4,0,31,Male
work for a multinational corporation,9000,10000,To change careers,6,0,30,Male
work for a medium-sized company,35000,50000,To change careers,0,0,54,Female
work for a multinational corporation,50000,50000,To change careers,3,0,25,Male
work for a multinational corporation,30000,35000,To change careers,0,0,28,Female
work for a medium-sized company,42000,100000,To change careers,6,0,36,Male
work for a medium-sized company,40000,90000,To change careers,1,0,25,Male
work for a startup,44000,58000,To change careers,20,0,25,Male
work for a multinational corporation,19000,75000,To change careers,0,0,29,Male
work for a multinational corporation,30000,25000,To change careers,3,0,35,Male
work for a medium-sized company,90000,90000,To succeed in current career,6,0,33,Female
work for a multinational corporation,50000,60000,To change careers,8,0,25,Male
work for a startup,23000,60000,To change careers,0,0,32,Male
work for a multinational corporation,100000,80000,To change careers,2,0,50,Female
work for a startup,65000,100000,To change careers,2,0,29,Male
work for a medium-sized company,53000,70,To change careers,7,0,37,Female
work for a medium-sized company,93000,100000,To change careers,12,0,51,Male
work for a medium-sized company,0,10000,To create art or entertainment,60,0,13,Male
work for a medium-sized company,1500,2000,To succeed in current career,24,0,29,Female
work for a medium-sized company,100000,90000,To change careers,4,0,39,Male
work for a startup,50000,60000,To succeed in current career,12,0,26,Male
work for a medium-sized company,0,2716,To succeed in current career,4,0,21,Male
work for a multinational corporation,20000,50000,To start a business or to freelance,18,0,35,Male
work for a medium-sized company,56000,60000,To change careers,0,0,47,Female
work for a nonprofit,0,30000,To change careers,1,0,34,Female
work for a medium-sized company,52000,60000,As a hobby,0,0,25,Male
work for a startup,2500,25000,To start a business or to freelance,4,0,22,Male
work for a medium-sized company,18000,45000,As a hobby,20,0,20,Male
work for a nonprofit,50000,5000,As a hobby,0,0,65,Male
work for a medium-sized company,42000,60000,To change careers,1,0,26,Female
work for a multinational corporation,103500,110000,To change careers,40,0,36,Male
work for a nonprofit,60000,50000,To change careers,0,0,28,Female
work for a medium-sized company,85000,55000,To succeed in current career,0,0,51,Female
work for a government,24000,65000,To change careers,48,0,24,Male
work for a government,11000,30000,As a hobby,0,0,18,Male
work for a multinational corporation,50000,75000,To change careers,60,0,38,Male
work for a medium-sized company,71000,90000,To start a business or to freelance,0,0,26,Male
work for a nonprofit,50000,100000,To succeed in current career,0,0,43,Male
work for a startup,86000,100000,To change careers,12,0,41,Male
work for a startup,102000,90000,To change careers,1,0,37,Male
work for a nonprofit,26000,45000,To change careers,0,0,36,Male
work for a multinational corporation,2500,20000,To succeed in current career,29,0,22,Male
work for a medium-sized company,3812,120000,To change careers,0,0,23,Male
work for a medium-sized company,2000,65000,To change careers,0,0,27,Male
work for a medium-sized company,600000,45000,To change careers,36,0,37,Male
work for a nonprofit,18000,45000,To change careers,6,0,25,Female
work for a medium-sized company,12000,50000,To succeed in current career,24,0,23,Male
work for a medium-sized company,74000,60000,To change careers,12,0,41,Male
work for a multinational corporation,10000,10000,To change careers,0,0,29,Male
work for a nonprofit,35000,5000,To succeed in current career,0,0,42,Female
work for a startup,20000,48000,To start a business or to freelance,1,0,36,Male
work for a startup,200,3600,To succeed in current career,1,0,28,Male
work for a startup,500,120000,To start a business or to freelance,24,0,21,Male
work for a multinational corporation,11000,28000,To change careers,5,0,29,Male
work for a medium-sized company,15000,900,To change careers,3,0,34,Male
work for a government,28000,75000,To change careers,1,0,27,Male
work for a multinational corporation,45000,60000,To succeed in current career,6,0,35,Male
work for a multinational corporation,30000,10000,To change careers,3,1,35,Female
work for a medium-sized company,60000,75000,To succeed in current career,0,0,37,Male
work for a medium-sized company,9000,15000,To change careers,1,0,24,Female
work for a medium-sized company,65000,80000,To change careers,6,0,28,Male
work for a multinational corporation,100000,40000,To change careers,0,0,50,Male
work for a multinational corporation,90000,80000,To change careers,1,0,28,Male
work for a medium-sized company,37000,50000,To change careers,0,0,26,Male
work for a medium-sized company,8000,10000,To change careers,3,0,27,Male
work for a medium-sized company,30000,0,To succeed in current career,0,0,40,Male
work for a medium-sized company,15000,20000,To change careers,6,0,22,Female
work for a multinational corporation,600,0,To meet school requirements,36,0,17,Male
work for a medium-sized company,50000,55000,To change careers,12,0,36,Female
work for a startup,9500,100,To succeed in current career,2,0,32,Female
work for a nonprofit,50000,60000,To create art or entertainment,0,0,52,Female
work for a startup,55000,50000,To change careers,8,0,30,Female
work for a startup,10000,20000,To change careers,6,0,28,Male
work for a startup,15000,60000,To change careers,6,0,27,Male
work for a medium-sized company,30000,70000,To start a business or to freelance,12,0,32,Female
work for a multinational corporation,11000,45000,As a hobby,6,0,21,Female
work for a medium-sized company,10000,40000,To change careers,10,0,21,Female
work for a medium-sized company,5000,50000,To meet school requirements,4,0,42,Female
work for a medium-sized company,0,60000,To change careers,12,0,25,Male
work for a medium-sized company,60000,50000,To change careers,0,0,30,Male
work for a medium-sized company,40000,60000,To change careers,1,0,20,Male
work for a medium-sized company,50000,70000,As a hobby,12,0,54,Male
work for a government,45000,70000,To succeed in current career,1,0,38,Female
work for a startup,25000,60000,To start a business or to freelance,22,0,23,Male
work for a startup,40000,70000,To change careers,1,0,28,Male
work for a medium-sized company,45000,60000,To change careers,0,0,43,Female
work for a startup,25000,60000,To start a business or to freelance,0,0,33,Male
work for a medium-sized company,100000,70000,To change careers,0,0,38,Female
work for a medium-sized company,35000,40000,To change careers,1,0,29,Male
work for a nonprofit,3000,50000,To start a business or to freelance,0,0,29,Female
work for a startup,120000,100000,To succeed in current career,0,0,36,Male
work for a medium-sized company,25000,35000,To change careers,1,0,32,Male
work for a nonprofit,35000,45000,To change careers,1,0,32,Female
work for a startup,50000,60000,To change careers,2,0,29,Male
work for a startup,30000,65000,To succeed in current career,36,0,51,Male
work for a startup,73000,75000,To succeed in current career,12,0,44,Female
work for a multinational corporation,20000,40000,To change careers,1,0,24,Female
work for a multinational corporation,12000,60000,To change careers,3,0,25,Male
work for a medium-sized company,2000,60000,To change careers,6,0,47,Male
work for a multinational corporation,90000,85000,To succeed in current career,12,0,23,Female
work for a multinational corporation,44400,60000,To change careers,2,0,26,Male
work for a nonprofit,30000,60000,To change careers,0,0,34,Male
work for a medium-sized company,10000,45000,To change careers,11,0,21,Male
work for a startup,45000,60000,To change careers,27,0,41,Male
work for a nonprofit,50,1000,To change careers,48,0,22,Male
work for a medium-sized company,60000,70000,To change careers,5,0,30,Male
work for a startup,20000,35000,To change careers,0,0,40,Male
work for a medium-sized company,10000,50000,To change careers,0,0,22,Female
work for a multinational corporation,44000,60000,To succeed in current career,0,0,29,Male
work for a startup,40000,70000,To change careers,12,0,27,Male
work for a medium-sized company,30000,50000,To change careers,1,0,40,Male
work for a multinational corporation,38000,50000,To change careers,3,0,26,Female
work for a multinational corporation,4000,6000,To start a business or to freelance,12,0,30,Male
work for a startup,8000,40000,To change careers,12,0,24,Male
work for a medium-sized company,30000,30000,To change careers,0,0,38,Male
work for a nonprofit,42000,50000,To succeed in current career,1,0,56,Female
work for a startup,20000,200000,As a hobby,0,0,32,Male
work for a multinational corporation,30000,70000,To change careers,1,1,22,Male
work for a medium-sized company,1000,1000000,As a hobby,0,0,19,Female
work for a medium-sized company,9100,55000,To change careers,4,0,20,Male
work for a government,32000,45000,To succeed in current career,0,0,26,Male
work for a multinational corporation,40000,40000,To succeed in current career,1,0,23,Male
work for a government,36000,50000,To change careers,2,1,32,Male
work for a government,50000,65000,To succeed in current career,1,0,37,Male
work for a government,80000,50000,To change careers,4,0,46,Male
work for a startup,15000,15000,To change careers,1,0,28,Male
work for a startup,40000,60000,To change careers,6,0,31,Male
work for a startup,17000,25000,To change careers,1,0,21,Male
work for a startup,22000,30000,To create art or entertainment,2,0,24,Male
work for a government,40000,50000,To change careers,24,0,32,Male
work for a medium-sized company,35000,42000,To succeed in current career,4,1,26,Male
work for a startup,0,700,To succeed in current career,24,0,22,Male
work for a medium-sized company,27000,40000,To change careers,1,0,30,Male
work for a nonprofit,18000,40000,To succeed in current career,396,0,38,Female
work for a multinational corporation,2500,80000,To change careers,0,0,30,Male
work for a multinational corporation,170000,30000,To change careers,0,0,29,Male
work for a medium-sized company,48000,48000,As a hobby,36,0,22,Male
work for a multinational corporation,22000,50000,To change careers,2,0,34,Male
work for a medium-sized company,8000,1500,To change careers,12,0,31,Male
work for a medium-sized company,210,700,To succeed in current career,8,0,26,Male
work for a startup,20000,2000,To succeed in current career,9,1,28,Female
work for a medium-sized company,1600,8000,To succeed in current career,12,0,22,Male
work for a startup,5500,70000,To succeed in current career,6,0,27,Female
work for a multinational corporation,2400,18000,To start a business or to freelance,3,0,30,Female
work for a medium-sized company,17000,25000,To start a business or to freelance,24,0,34,Male
work for a multinational corporation,40000,60000,To change careers,1,0,33,Male
work for a multinational corporation,8000,20000,To change careers,0,0,41,Male
work for a nonprofit,36000,50000,To succeed in current career,2,0,32,Male
work for a multinational corporation,0,7000,To succeed in current career,4,0,22,Male
work for a startup,2400,12000,To succeed in current career,6,0,24,Male
work for a medium-sized company,200,300,As a hobby,1,0,24,Male
work for a startup,2500,40000,To start a business or to freelance,0,0,28,Male
work for a multinational corporation,25000,65000,To change careers,7,1,25,Female
work for a multinational corporation,12000,60000,To change careers,10,0,34,Male
work for a startup,18000,20000,To change careers,1,0,27,Male
work for a multinational corporation,15000,50000,To start a business or to freelance,12,0,40,Male
work for a startup,5,5000,To succeed in current career,6,0,22,Male
work for a medium-sized company,47000,60000,To change careers,0,0,36,Female
work for a multinational corporation,38000,50000,To change careers,6,0,36,Female
work for a startup,15000,55000,To create art or entertainment,12,0,25,Female
work for a startup,70000,50000,To start a business or to freelance,4,1,35,Male
work for a medium-sized company,36000,60000,To succeed in current career,8,0,29,Male
work for a medium-sized company,1920,12000,To change careers,16,0,26,Male
work for a startup,50000,65000,To change careers,16,0,34,Male
work for a medium-sized company,35000,50000,To change careers,1,0,24,Female
work for a startup,48000,90000,To change careers,24,0,24,Male
work for a medium-sized company,80000,70000,To change careers,5,1,42,Male
work for a multinational corporation,12000,52000,To change careers,10,0,18,Female
work for a medium-sized company,6352,40000,To succeed in current career,1,0,35,Male
work for a nonprofit,28000,40000,To change careers,0,0,27,Female
work for a multinational corporation,16700,1000,To change careers,1,0,32,Male
work for a multinational corporation,25000,40000,To change careers,0,0,22,Male
work for a government,62000,50000,To succeed in current career,0,0,30,Male
work for a medium-sized company,18000,55000,To change careers,1,0,31,Male
work for a medium-sized company,18000,48000,To change careers,6,1,43,Male
work for a medium-sized company,3000,60000,To create art or entertainment,5,0,22,Male
work for a nonprofit,0,450,As a hobby,3,0,24,Male
work for a multinational corporation,50000,30000,To meet school requirements,120,0,33,Male
work for a multinational corporation,70000,30000,To change careers,0,0,36,Male
work for a startup,21000,30000,To change careers,0,0,31,Female
work for a government,15000,45000,To succeed in current career,18,0,18,Male
work for a medium-sized company,0,100000,To succeed in current career,60,0,32,Male
work for a medium-sized company,22500,65000,To change careers,6,0,32,Female
work for a medium-sized company,1200,12000,To start a business or to freelance,2,0,52,Male
work for a multinational corporation,677,4000,As a hobby,3,0,26,Male
work for a medium-sized company,20000,50000,To change careers,1,1,34,Female
work for a startup,35000,40000,To succeed in current career,14,0,24,Male
work for a startup,40000,27000,To change careers,9,0,30,Female
work for a multinational corporation,66000,40000,To change careers,2,0,27,Female
work for a medium-sized company,500,60000,To succeed in current career,12,0,22,Female
work for a multinational corporation,25000,50000,To change careers,0,0,24,Male
work for a government,40000,35000,To change careers,24,0,28,Male
work for a medium-sized company,27000,65000,To change careers,1,0,25,Female
work for a nonprofit,44800,45000,As a hobby,1,0,25,Female
work for a startup,5250,75000,To succeed in current career,60,0,24,Male
work for a startup,10000,2000,To succeed in current career,1,0,38,Male
work for a medium-sized company,360,70000,To change careers,1,0,30,Male
work for a multinational corporation,50000,45000,As a hobby,1,0,29,Female
work for a multinational corporation,2000,0,To change careers,0,0,23,Female
work for a startup,10000,50000,To succeed in current career,30,0,33,Male
work for a startup,38000,40000,To change careers,1,0,25,Male
work for a multinational corporation,8108,3000,To change careers,1,0,28,Male
work for a multinational corporation,10000,50000,To change careers,3,0,28,Female
work for a medium-sized company,6000,25000,To change careers,9,0,27,Male
work for a multinational corporation,33000,50000,As a hobby,5,0,30,Female
work for a nonprofit,45000,50000,To change careers,3,0,29,Male
work for a multinational corporation,3511,20000,To change careers,2,0,26,Male
work for a government,7000,10000,To change careers,6,0,25,Male
work for a medium-sized company,17000,40000,To change careers,3,0,33,Male
work for a nonprofit,500,4000,As a hobby,0,0,38,Male
work for a multinational corporation,1244,150000,To start a business or to freelance,4,0,22,Male
work for a multinational corporation,100000,0,To start a business or to freelance,2,0,59,Male
work for a medium-sized company,5000,24000,To change careers,4,0,28,Male
work for a startup,14000,60000,To change careers,1,0,23,Female
work for a medium-sized company,70000,80000,To change careers,4,0,49,Male
work for a medium-sized company,25000,40000,To change careers,22,1,32,Male
work for a medium-sized company,0,75000,To succeed in current career,36,0,23,Male
work for a medium-sized company,48000,75000,To succeed in current career,0,0,28,Female
work for a startup,150000,25000,To start a business or to freelance,1,0,55,Male
work for a startup,5000,2000,To succeed in current career,1,0,40,Male
work for a startup,100000,80000,To change careers,1,0,29,Male
work for a medium-sized company,50000,75000,To change careers,12,0,36,Male
work for a multinational corporation,20000,75000,To change careers,24,0,29,Male
work for a startup,0,14000,To change careers,8,0,25,Male
work for a multinational corporation,55000,80000,To succeed in current career,1,0,22,Male
work for a nonprofit,110000,60000,To succeed in current career,1,0,38,Female
work for a nonprofit,20000,50000,To change careers,4,0,26,Female
work for a startup,30000,50000,To change careers,1,0,29,Female
work for a startup,20000,60000,To change careers,12,0,22,Male
work for a startup,1000,100000,To change careers,0,0,23,Male
work for a medium-sized company,500,1500,To start a business or to freelance,15,0,29,Male
work for a multinational corporation,320,763236,To succeed in current career,0,0,24,Male
work for a startup,30000,120000,To succeed in current career,48,0,21,Male
work for a startup,50000,65000,To change careers,2,0,23,Male
work for a medium-sized company,30000,50000,To change careers,0,0,25,Male
work for a startup,40000,60000,To succeed in current career,0,0,27,Male
work for a nonprofit,0,45000,To start a business or to freelance,0,0,74,Male
work for a nonprofit,120,90,To succeed in current career,0,0,46,Female
work for a nonprofit,1000,0,As a hobby,4,0,16,Male
work for a startup,75000,80000,To succeed in current career,1,0,32,Male
work for a medium-sized company,3000,12000,To create art or entertainment,13,0,34,Male
work for a multinational corporation,40000,60000,To create art or entertainment,0,0,54,Female
work for a nonprofit,0,40000,To change careers,3,0,16,Male
work for a medium-sized company,0,60000,To change careers,2,1,48,Female
work for a medium-sized company,12000,12000,As a hobby,48,0,25,Male
work for a multinational corporation,8000,50000,To change careers,5,0,22,Female
work for a medium-sized company,60000,60000,To change careers,3,0,30,Female
work for a multinational corporation,4000,28360,As a hobby,36,0,25,Male
work for a medium-sized company,0,700,To change careers,1,0,28,Male
work for a medium-sized company,70000,70000,To change careers,14,0,37,Male
work for a multinational corporation,55000,70000,To succeed in current career,0,0,34,Male
work for a nonprofit,60000,30000,To change careers,2,0,59,Female
work for a medium-sized company,70000,60000,To change careers,1,0,32,Male
work for a medium-sized company,2000,500,To succeed in current career,6,0,31,Female
work for a medium-sized company,5000,12000,To change careers,1,0,26,Male
work for a government,35000,45000,To succeed in current career,0,0,32,Female
work for a medium-sized company,8500,18000,To succeed in current career,2,0,26,Male
work for a startup,15000,40000,To start a business or to freelance,1,0,22,Female
work for a multinational corporation,18000,30000,To succeed in current career,4,0,29,Male
work for a medium-sized company,4000,10000,To create art or entertainment,4,0,23,Male
work for a nonprofit,12000,40000,To change careers,4,0,22,Male
work for a startup,50000,90000,To start a business or to freelance,48,0,24,Female
work for a startup,12000,48000,To start a business or to freelance,24,0,40,Male
work for a multinational corporation,5000,13000,To change careers,7,0,23,Female
work for a medium-sized company,48000,50000,To change careers,0,0,23,Male
work for a multinational corporation,15000,120000,To change careers,0,0,45,Male
work for a startup,47000,50000,As a hobby,0,0,25,Female
work for a multinational corporation,628,10000,To succeed in current career,8,0,20,Male
work for a startup,24000,45000,To create art or entertainment,0,0,31,Male
work for a medium-sized company,32000,30000,As a hobby,2,0,29,Male
work for a multinational corporation,44000,65000,To change careers,1,0,33,Male
work for a startup,40000,60000,To change careers,6,0,37,Male
work for a multinational corporation,12000,30000,To change careers,1,0,35,Male
work for a medium-sized company,85000,80000,To change careers,0,0,29,Male
work for a startup,0,5000,To succeed in current career,7,1,24,Male
work for a startup,4500,12000,To change careers,6,0,23,Male
work for a startup,35000,65000,To change careers,3,0,27,Male
work for a government,23000,40000,To change careers,18,0,39,Female
work for a medium-sized company,21000,75000,To change careers,2,0,30,Male
work for a government,60000,85000,To change careers,0,0,44,Female
work for a medium-sized company,32000,70000,To succeed in current career,24,0,30,Male
work for a government,40000,40000,To change careers,0,0,27,Male
work for a multinational corporation,1300,2500,To change careers,3,0,26,Female
work for a multinational corporation,500,50000,To change careers,4,0,25,Male
work for a startup,60000,100000,To succeed in current career,45,0,26,Female
work for a government,4000,10000,To create art or entertainment,10,0,18,Male
work for a multinational corporation,2800,40000,To change careers,2,0,29,Female
work for a multinational corporation,40000,65000,To change careers,1,0,32,Male
work for a startup,26000,50000,To change careers,1,0,41,Female
work for a medium-sized company,25000,50000,To change careers,1,0,22,Male
work for a startup,30000,50000,As a hobby,36,0,28,Male
work for a medium-sized company,15000,60000,To change careers,12,0,43,Female
work for a nonprofit,22000,70000,To change careers,6,0,28,Female
work for a medium-sized company,48000,90000,As a hobby,6,0,29,Female
