"","X1","track_id","track_name","track_artist","track_popularity","track_album_id","track_album_name","track_album_release_date","playlist_name","playlist_id","playlist_genre","playlist_subgenre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"14",5585,"6ekeactpFOI9b9NzwWDDb9","Forward Backward","Max Keeble",40,"24SZva5P5IKIM7XHlNk4cv","Titled Gully","2019-12-10","Jazz Vibes","37i9dQZF1DX0SM0LYsmbMT","rap","hip hop",0.717,0.472,9,-11.145,0,0.0467,0.787,0.441,0.29,0.786,79.982,156000
"15",31983,"2WFOLhpZmDGhl1xmwIIZrJ","Love Like You (Laudr8 Remix)","N + I",38,"5JsuVLJIXwJcC1b0QG086M","Love Like You (Laudr8 Remix)","2019-09-27","CHRISTIAN ELECTRO / DANCE / EDM","0MhTMIo1bgH6zzPh7BdChT","edm","progressive electro house",0.819,0.771,0,-4.527,0,0.0971,0.713,0.000739,0.0966,0.345,121.972,161311
"16",21821,"4VSyH8AkIt3kaR5xIPFVVi","Where My Girls At","702",58,"6PELMehRtCwGXXyFS0fLKR","702","1999-01-01","The Sound of Urban Contemporary","07zF8MjQPsiYUXiAIGZ5TA","r&b","urban contemporary",0.704,0.725,4,-7.435,1,0.0505,0.0348,0.0163,0.194,0.761,92.183,166693
"17",21597,"5bvnqVuq7UFl0txSlHpsfS","Loyal (feat. Drake)","PARTYNEXTDOOR",84,"1U1uqmoe8hdbqZWRqd23li","Loyal (feat. Drake)","2019-11-22","New R&B‏‏​​   ‍","4I6rTSxqKl1LRvES2O9owQ","r&b","urban contemporary",0.866,0.53,0,-6.347,0,0.0495,0.517,0.00159,0.0946,0.203,104.952,197973
"18",30387,"5iwz1NiezX7WWjnCgY5TH4","Calma - Remix","Pedro Capó",86,"1tFnP9PwIMeMIuj92mfswZ","Calma (Remix)","2018-10-05","Verão 2020 | Pop | Funk | Sertanejo | EDM | Top Hits 2019 - As Mais Tocadas","5HmZtuuIDMtIy21kylqhx6","edm","pop edm",0.826,0.773,11,-4.218,0,0.0524,0.323,0,0.143,0.761,126.899,238200
"19",22477,"60UYjtHUPB18FpUNgEI7NS","Love You That Much","Mary Mary",20,"2gXi6y3T7xN3XW0jR4jCbl","Mary Mary","2005-11-29","Gospel","0pItJZBDZFvgAOdFnSITnJ","r&b","urban contemporary",0.729,0.728,6,-5.436,1,0.267,0.0275,1.97e-06,0.131,0.553,80.646,241000
"20",28537,"1Pofof4ZYVI6GDM0IFGvBk","Live Your Life - Radio Edit","Headhunterz",1,"2FaCCZ2jSTKrd8kyyNLfme","Live Your Life","2015-06-08","Big Room House | Festival Bangers","5Bx5niVgi3qGQQw06C0RKq","edm","big room",0.485,0.853,6,-3.192,0,0.0423,0.0057,0.00155,0.0842,0.304,130.054,180923
"21",25311,"1mC0kUHfD8YzjffB8K4m5n","Guarding The Gates - From ""Queen & Slim: The Soundtrack""","Ms. Lauryn Hill",3,"6MI7UpFxq0mOdOeDnfa2eg","Queen & Slim: The Soundtrack","2019-11-15","Neo-Soul","1eqVgsNjaX6mxDPoefhocT","r&b","neo soul",0.314,0.743,11,-6.396,1,0.115,0.125,0,0.363,0.332,147.209,360312
"22",3560,"6gjCB9TQq3cwuT3IhPLV5H","Kind von Traurigkeit","Unzucht",0,"4756pEKLmL2X9wCqkKGWaL","Rosenkreuzer","2013-10-04","Gothic / Industrial / Mittelalter / EBM / Futurepop / Gothik / Electropop","53CmFroG6MWR5reOOXJX6B","pop","electropop",0.654,0.794,2,-5.797,0,0.0378,0.00749,0.0134,0.0864,0.335,109.989,268467
"23",26067,"5GSPbwdtRrHJII2T8AOckK","Soul Revelation","Nicola Conte",12,"4IhBUw72OTHBql4aeH7scD","Free Souls","2014-04-16","NEO FUNK AND SOUL","2WbTrS5D0V2TW6DiDkJBru","r&b","neo soul",0.545,0.768,9,-6.499,0,0.156,0.284,3e-05,0.102,0.532,84.816,262510
"24",4631,"2DFi8rwHcVkTTgu7PULhtI","My Type","Saint Motel",61,"3FkPbizteyMJfT2tLyvnkE","My Type","2014-06-17","Intro to Indie Poptimism","6Ylmweq4pT7j3ScIv5uq1c","pop","indie poptimism",0.596,0.897,10,-2.94,1,0.0462,0.0641,5.24e-05,0.0628,0.578,118,206394
"25",4601,"6nek1Nin9q48AVZcWs9e9D","Paradise","Coldplay",77,"2R7iJz5uaHjLEVnMkloO18","Mylo Xyloto","2011-10-24","A Loose Definition of Indie Poptimism","4ZO0wp9G8FA3X6oYNBzda6","pop","indie poptimism",0.449,0.585,5,-6.762,1,0.0268,0.0522,8.49e-05,0.0833,0.203,139.627,278719
"26",21561,"6WrI0LAC5M1Rw2MnX2ZvEg","Don't Start Now","Dua Lipa",97,"0ix3XtPV1LwmZADsprKxcp","Don't Start Now","2019-10-31","Most Popular 2020 TOP 50","1fqkbjEACMlekdddm5aobE","r&b","urban contemporary",0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941,183290
"27",15948,"0QbKDAp6iEC9XtQbkjRxMm","Love Song","The Cure",3,"6NII6OnGzd07nDw5o7Secq","Greatest Hits","2001-11-13","Rock Ballads 80s 90s | Best Rock Love Songs 80's 90's Music Hits","0y8MUle9Lf8VDNjPsskzJB","rock","hard rock",0.595,0.865,9,-4.355,0,0.0304,0.347,0.296,0.155,0.759,139.932,208000
"28",5174,"1dFkD1JfRMzwO6hwUsE8aS","Spectrum","Zedd",62,"7juWTdmjo0vYywWu8HiQxs","Clarity","2012-01-01","Indie Poptimism","2QiMewRbSavfZ9MSAYz2h6","pop","indie poptimism",0.609,0.801,0,-4.417,0,0.034,0.0137,0.00349,0.127,0.407,129.99,243413
"29",13692,"4VqPOruhp5EdPBeR92t6lQ","Uprising","Muse",75,"0eFHYz8NmK75zSplL5qlfM","The Resistance","2009-09-10","The Sound of Permanent Wave","4EYSGTuqe9cVfSVpX4gtGv","rock","permanent wave",0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,304840
"30",20522,"0qy5D3OJre7SPJNMOL9I71","Broccoli","DRAM",69,"4mchkmnzdTYIEAnw2FijA3","Broccoli","2016-04-06","Latin/Hip Hop/Dancehall/Soca","2rg9LCyvaMQvnCE2hVndpR","latin","latin hip hop",0.886,0.525,8,-7.39,1,0.132,0.236,0,0.057,0.708,145.99,225205
"31",31000,"61lDxV5pn2UdumqMpdxCKG","Savannah","Diviners",58,"0oJoSAyzhTwzIIU5Y5AXca","Savannah","2015-11-25","EDM/POP","6gHk5RFrnALbDNJdaXKivi","edm","pop edm",0.652,0.776,0,-3.133,1,0.0392,0.373,1.32e-06,0.0392,0.387,108.077,208698
"32",29187,"35WEFAhw47XLju1gu40cjT","Freitag, Samstag","Harris & Ford",65,"2vdeMLYYKkx1kp0J9ggsBL","Freitag, Samstag","2019-05-03","Trance Party 2019 by FUTURE TRANCE","2yofeyPwe0ZNmJHTrGz2Qt","edm","big room",0.638,0.961,10,-3.828,0,0.121,0.0124,0.00559,0.0663,0.353,138.034,156356
"33",15955,"6DHv5Uiag2uDDgyytTThkZ","Time After Time","Carla Tous",35,"2agXSqEy5qDOAg71i6QsVy","Power Ballads 80's 90's: Best Romantic Songs & Rock Ballads from the 80s 90s Music","2013-07-20","Rock Ballads 80s 90s | Best Rock Love Songs 80's 90's Music Hits","0y8MUle9Lf8VDNjPsskzJB","rock","hard rock",0.829,0.467,0,-7.949,1,0.0358,0.727,0,0.17,0.507,129.967,213800
"34",3353,"0P9uFnsHlwafDAZ0i3k9nX","Tú y Yo","Motel",35,"5enlta6rVSuQ2hs4hjM1rc","Tú y Yo","2019-01-25","ELECTROPOP EN ESPAÑOL","3VfscqF7zq65IGKiYM3FS0","pop","electropop",0.507,0.83,0,-6.375,1,0.0356,0.000325,0.0631,0.0926,0.209,141.9,277750
"35",10777,"69dXVFCMiz3SL1L7M24NdX","bad vibes forever","XXXTENTACION",78,"1f8a8aLfreWLK8lH7t74ws","bad vibes forever","2019-11-22","Sad Trap","7kzKtw5vug3IIxKfLadi8A","rap","trap",0.799,0.526,8,-5.153,1,0.0717,0.334,0.00174,0.0571,0.746,129.875,150475
"36",2035,"0QNmyQRKrAZ15vdi9QUnXp","Margaret's Hymn","Deborah's Child",34,"6HARsVWUmJmT0QKJoCBx9z","Margaret's Hymn","2019-08-21","a taste of the mainstream","4gbXqmZDUFHqlaYjf4uVyS","pop","post-teen pop",0.737,0.369,9,-6.888,1,0.112,0.494,1.18e-06,0.244,0.494,129.988,246741
"37",26542,"5wezdyzeY706PFC6pW0WvP","Taste & See","Cynthia Jones",1,"66M0CD2mQy7YWXBcpFyH4h","Gotta Soul","2008-04-29","Gospel Neo Soul","2wP2UAYC4Nqb6oUXkMJlAz","r&b","neo soul",0.508,0.276,9,-13.384,0,0.0297,0.567,0,0.0786,0.437,93.489,247320
"38",14356,"2lffRiAET2Xt6BNb4EmkS2","80's Comedown Machine","The Strokes",53,"4WnkQO4xD9ljQooB3VIxCV","Comedown Machine","2013-03-22","②⓪①⑨ mixed","2bOjjgN1S3Gqd8vSMyafvJ","rock","permanent wave",0.488,0.503,0,-8.89,1,0.0326,0.00583,0.809,0.101,0.38,144.035,298613
"39",26218,"6ujl2ZS1tFebJK2owCHWW4","Non Planned Holiday","Prume",21,"5oxRpQn5zdnhHZkox8eIGB","Learning by Watching","2016-05-06","Saxophone in Hip Hop - R&B Lounge - Jazz Rap","2ujrP2rPxu8ao7wNeG1ZOY","r&b","neo soul",0.694,0.514,0,-8.14,1,0.033,0.196,1.62e-05,0.138,0.382,139.981,248240
"40",10896,"28PYfxxCkNec7BhDuOiuNt","Timmy Turner","Doc Thor",32,"3XHN7jX2jkBdeHPQVr3Abe","Timmy Turner","2019-10-14","Dose Trap","37i9dQZF1DWWlW7KLhEhCZ","rap","trap",0.786,0.575,9,-11.093,0,0.43,0.216,0,0.123,0.53,134.023,145119
"41",4535,"1vvNmPOiUuyCbgWmtc6yfm","My Way","Calvin Harris",77,"0dzeoQhVNzKkwM5ieOJC54","My Way","2016-09-16","A Loose Definition of Indie Poptimism","4ZO0wp9G8FA3X6oYNBzda6","pop","indie poptimism",0.819,0.913,4,-3.059,0,0.0427,0.0935,3.72e-05,0.161,0.536,119.989,219160
"42",6573,"6gRbkI6s0M7zTE9uhRZUjV","Greaze Mode","Skepta",60,"3qhdxKqksjkX6l8NDXz0as","Greaze Mode","2019-05-09","Rap Workout","37i9dQZF1DX76t638V6CA8","rap","hip hop",0.781,0.72,6,-8.347,0,0.165,0.112,4.1e-05,0.153,0.403,150.074,168400
"43",10039,"5G3NKZf1Gqs7dQnY4Miliy","Olha Pro Oclin","Sidoka",67,"2h81KHZhdqqJ2eyAJtPhsM","Doka Language","2019-07-11","Trapperz Brasil","37i9dQZF1DWWr5uieiPUVM","rap","trap",0.901,0.484,5,-11.169,0,0.117,0.0367,2.25e-05,0.198,0.766,130.02,221490
"44",20342,"5w9c2J52mkdntKOmRLeM2m","Con Calma","Daddy Yankee",87,"1otwHKoQ5KPaiekpYk4tWh","Con Calma","2019-01-24","Latest Latin American Hits 2020","51LvliKED7oZNJR8XCiPip","latin","latin hip hop",0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,193227
"45",6358,"5B6QJikgE2fsGpR1BBkapc","Brandvarm","Josef Og Elias",63,"1NQ0sa0iWmlXukKUsx1UnT","Brandvarm","2019-11-22","DK rap","37i9dQZF1DXdhDukKQ88Cc","rap","hip hop",0.782,0.459,2,-7.526,0,0.207,0.0675,0,0.122,0.22,84.983,161125
"46",11249,"1BxkZE73h9BN3qwuA15TA3","Drip Too Hard","Lil Baby",12,"0LfKQSbicPG4QTTVkS0fes","Drip Too Hard","2018-09-12","Trap Americana","7tkgK1tm9hYkWp7EFyOcAr","rap","trap",0.9,0.653,1,-6.962,0,0.289,0.0945,0,0.528,0.399,112.503,145603
"47",20696,"1nInOsHbtotAmEOQhtvnzP","Stronger (What Doesn't Kill You)","Kelly Clarkson",73,"0VmE95pr5TSpZWucfyhO5e","Stronger (Deluxe Version)","2011-10-24","Today's Hits 2000-Present","6a66cg3HcsjYkisYyQcov6","latin","latin hip hop",0.562,0.939,0,-4.282,1,0.0475,0.046,0,0.112,0.684,116.044,221947
"48",31258,"7rmlHxhHHRQhcIVQgbhuUG","Spite (Dusk Edit)","Morgin Madison",47,"0BMJTLYcoAfg7IwtvHCAkF","Spite (Dusk Edit)","2019-11-06","Deep Electronic Music 2020 & Progressive House","5CMvAWTlDPdZnkleiTHyyo","edm","progressive electro house",0.66,0.786,9,-7.999,0,0.0375,0.00464,0.0475,0.315,0.288,122.997,196098
"49",2108,"7xWbvQCz53GlVL4xSXKqPy","Piano's On The Beach","Jacques Renault",44,"6nr7tzTVQG6GEA0z4JUMLV","Favicon","2009-12-14","BALLARE - رقص","1CMvQ4Yr5DlYvYzI0Vc2UE","pop","post-teen pop",0.534,0.731,4,-8.202,0,0.0303,0.00464,0.76,0.928,0.917,100.064,283841
"50",12990,"1IBk5PttmnPcGnysEwtiXi","Simple Man","Lynyrd Skynyrd",6,"4zQRIyATzfm8RQ8ZOI47la","The Essential Lynyrd Skynyrd","1998","Southern Rock/Classic Rock","0QUlq0LMDVXSBtbyYLTyZh","rock","classic rock",0.433,0.756,6,-8.763,1,0.0443,0.00296,0.00166,0.268,0.415,120.574,356960
"51",19918,"2dMVmaxCaKCJz0jkSL8nj2","Crimes Of love","N.V.",0,"0EoHTLvsXeuCx70XZxxLDM","Some Kind Of Love","1994","Latin Hip Hop/Freestyle","2MYEUjX0YAI9dxrBDzoCK7","latin","latin hip hop",0.813,0.55,9,-12.769,0,0.0498,0.00327,0.000182,0.0688,0.398,125.844,323227
"52",25495,"5zhkOkaQCS21ulmwCrmqaa","mello.w",".SØN",23,"6z6Tkrq32IVAN7LmrZtkVC","mello.w","2019-12-06","Neo Soul / Modern Jazz / Smooth Hiphop","07SNJ4MwYba9wwmzrbjmYi","r&b","neo soul",0.561,0.228,10,-15.124,0,0.0753,0.537,0.799,0.556,0.149,80.02,126000
"53",9488,"1IIMpmIvO8tBJrSb1oL4Ox","Папиросы","Zanuda",37,"5App1MFO7J31G9sWzUVnCu","Папиросы","2010-08-31","RUSSIAN Gangster Rap","0Jw0HckkxCfIrOvpN081eV","rap","gangster rap",0.732,0.763,9,-2.006,1,0.205,0.775,0,0.136,0.542,82.985,200853
"54",4331,"6GoZuYpN1nXKV2zSM6RHpv","Reaching Out","Isabella Hixson",32,"6ZCZmBizC5o5DL3HwS3Kkl","I Will Go and Do: 2020 Youth Album","2019-11-17","The Edge of Indie Poptimism","5vIdb67lQcdFwoVkE4UMep","pop","indie poptimism",0.459,0.238,9,-8.049,1,0.034,0.89,0,0.0948,0.163,69.456,221986
"55",16770,"3GE52DOmiSQ2R3FHGmYSif","We Got It All (feat. MPH)","Sick Individuals",43,"49lComPZ8ZTN00M9Bbv3p1","We Got It All (feat. MPH)","2019-05-03","Tropical House 🏝 2020 Hits","2SRbIs0eBQwHeTP7kErjwo","latin","tropical",0.712,0.744,4,-5.496,1,0.0447,0.017,1.25e-05,0.532,0.615,107.968,166267
"56",16410,"6EF2wGmHfnKSVjR3t6Ufwd","Dividido","Alex Cuba",50,"2OygT6vALfqvnQD1heNxZC","Dividido","2019-03-22","Vibra Tropical","37i9dQZF1DX3fXJqxGjuEP","latin","tropical",0.836,0.35,5,-9.258,1,0.0576,0.719,1.78e-06,0.108,0.75,147.858,214778
"57",1102,"5UVBumEwdUnzvqxrXOYLFA","17","Youth Lagoon",58,"7jG32gfkuo10qarPgmWC7q","The Year of Hibernation","2011","Ultimate Indie Presents... Best Indie Tracks of the 2010s","37i9dQZF1DWTHM4kX49UKs","pop","dance pop",0.348,0.263,0,-8.531,1,0.0516,0.835,0.654,0.129,0.12,74.517,236000
"58",22260,"3qX1dqmDdmMvvfMVfsx4Bh","m.A.A.d city","Kendrick Lamar",67,"748dZDqSZy6aPXKcI9H80u","good kid, m.A.A.d city (Deluxe)","2012-10-22","Urban/Trap - Contemporary RAP","5CK0fshHcik1vWyeCc0zat","r&b","urban contemporary",0.487,0.729,2,-6.815,1,0.271,0.0538,4.07e-06,0.44,0.217,91.048,350120
"59",11647,"2rltyO7XkTWXTmn6dIU8by","Salida 3 - Live","Miguel Rios",0,"5fstCqs5NpIlF42VhPNv23","Rock & Rios (Remastered)","2005-01-01","Rock and Rios","2gpKfzXEi8QWvgBNPDPk5R","rock","album rock",0.431,0.956,0,-12.742,1,0.0339,0.00215,0.668,0.122,0.227,96.801,68147
"60",9686,"3Y6XWs8xMlCngyIxNOFnsp","Sound of da Police","KRS-One",62,"64ub4SfdC8wvPjdUXw8QY9","Return of the Boom Bap","1993-09-03","90s Gangsta Rap / Top Hip-hop Classics","0C2zyPdlkbWHrwVg9gqNdU","rap","gangster rap",0.794,0.95,1,-8.78,1,0.294,0.124,7.71e-05,0.133,0.324,94.984,258507
"61",16891,"6n319f8IZ6dDrx2n0egj8L","Solo Te Quiero Conmigo","Buxxi",34,"0dFoq4zVd0MWCv5cAR7IHP","Solo Te Quiero Conmigo","2019-12-27","Tropical Rising","37i9dQZF1DX07X8UDWKEwP","latin","tropical",0.861,0.926,3,-4.065,0,0.129,0.134,0,0.12,0.811,122.007,180500
"62",1907,"78lgmZwycJ3nzsdgmPPGNx","Immigrant Song - Remaster","Led Zeppelin",77,"6P5QHz4XtxOmS5EuiGIPut","Led Zeppelin III (Remastered)","1970","Dr. Q's Prescription Playlist💊","6jAPdgY9XmxC9cgkXAVmVv","pop","post-teen pop",0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,146250
"63",26386,"0Y0JVqSlj8J512B5kjKekP","Back to Me","Moonchild",49,"0gkEQ4rKVfEwrBRdLEJex7","Be Free","2012-04-27","Neo-Jazz Soul RnB & Afro","48AzM7l4M02DBYd2N3IFLP","r&b","neo soul",0.88,0.22,1,-11.51,0,0.471,0.571,0.0437,0.125,0.812,94.112,223027
"64",27257,"2cFK03sObtI6AK3QKeOT5g","We Got That Cool (feat. Afrojack & Icona Pop)","Yves V",69,"1WowOfXnw3DlwgjyzlAU4Q","We Got That Cool (feat. Afrojack & Icona Pop)","2019-06-28","EDM 2020 House & Dance","25ButZrVb1Zj1MJioMs09D","edm","electro house",0.639,0.865,1,-5.01,1,0.0357,0.00462,1.26e-06,0.208,0.611,124.01,213000
"65",15834,"7IHZxpSS1FbVBIY8GKinlK","Suicide (Gonna Make Its Call)","Bad Apples",23,"6scJxxcXBmA3wMVlL1pCqC","Bad Apples","2019-09-14","HARD ROCK Vibes","28817h8FTrRI4V40DqHVaB","rock","hard rock",0.211,0.96,3,-3.221,0,0.0733,1.64e-05,0.0106,0.205,0.248,159.414,272920
"66",1954,"7M68YTelBnT9P1eO1idOOs","Blame It On Waylon","Josh Thompson",58,"3Ba07fAhwq2tLy6CrJYnNq","Way Out Here","2010-02-22","Dr. Q's Prescription Playlist💊","6jAPdgY9XmxC9cgkXAVmVv","pop","post-teen pop",0.653,0.826,2,-5.352,1,0.0315,0.0353,0,0.193,0.669,122.055,212648
"67",2707,"7pqgMEKsDMOHUdFQ7n0N9K","Dangerous (feat. Sam Martin)","David Guetta",66,"77UW17CZFyCaRLHdHeofZu","Listen","2014-11-21","ELECTROPOP","2UsEj2GUukV0GLbsE3rldz","pop","electropop",0.466,0.747,4,-4.838,0,0.0795,0.417,9.76e-06,0.107,0.43,92.161,203641
"68",31248,"5IXVY6zjlwu8PgcKc4vQvW","On My Mind - Edit","Peer Kusiv",23,"0amP3zIJObFU8PIHvCdgS0","On My Mind","2019-08-09","Deep Electronic Music 2020 & Progressive House","5CMvAWTlDPdZnkleiTHyyo","edm","progressive electro house",0.651,0.695,10,-5.7,0,0.0357,0.0834,0.00124,0.306,0.243,114.013,177200
"69",29593,"0F4KUDXmPhAP71ULvS5RAZ","Trippin - Dëëp Hamilton Remix","Hedvig",0,"7C58obf2ChVxtgFXNeM6nn","Trippin (Dëëp Hamilton Remix)","2015-08-08","@deniceemoberg EDM - POP REMIXES","2fbrY1tuoW8Uji14H7623k","edm","pop edm",0.774,0.761,0,-6.644,1,0.103,0.273,0.639,0.038,0.77,103.982,208000
"70",7986,"2Mb3zpobD0CvJGWv6NpsPy","They Reminisce Over You (T.R.O.Y.)","Pete Rock & C.L. Smooth",60,"2AgTKAULjbHpqqtyI53hdp","Mecca And The Soul Brother","1992-05-26","90's Hip Hop Ultimate Collection","4IG024zoaGMurhTFBkMAv9","rap","southern hip hop",0.761,0.683,2,-10.889,1,0.164,0.141,0,0.342,0.671,101.787,286693
"71",21927,"4yn0ftNHQSwsWE81h33y4K","Legendary (feat. Gunna)","Tyga",66,"6hHIX3lfGKnZ2ji41YZMVV","Legendary","2019-06-07","Chixtape 5 - Tory Lanez","0UXwwVDipbBQeEX7h4YuKU","r&b","urban contemporary",0.894,0.492,1,-4.692,1,0.104,0.0295,1.22e-06,0.14,0.397,100.041,152532
"72",29689,"1IjuevPDJ8Sa97wFwQ5j4V","Happier - Frank Walker Remix","Marshmello",51,"16M1uToqnw9bPO8wv8ypeE","Happier (Remixes)","2018-10-19","Pop EDM Remixes","4aUEH3uhbofktrFkXOOaKj","edm","pop edm",0.712,0.646,5,-4.23,1,0.182,0.116,0,0.123,0.607,104.998,196571
"73",16602,"12LQ2VPWJEGOC9IA7b4x9G","Hands On Your Body","Basixx",1,"4nqz0dunYNDm1SbuXSskVV","Like a Hurricane","2018-11-09","Tropical Vibes","37i9dQZF1DXd8Gn5cSmvFy","latin","tropical",0.733,0.773,11,-5.578,0,0.0926,0.0689,5.88e-05,0.105,0.566,124.971,190500
"74",12524,"0PdM2a6oIjqepoEfcJo0RO","Pour Some Sugar On Me - Remastered 2017","Def Leppard",74,"31oeDyCOLhgeZyktfxo0pE","Hysteria (Super Deluxe)","1987-08-03","Classic Rock Drive","37i9dQZF1DXdOEFt9ZX0dh","rock","classic rock",0.267,0.953,1,-4.899,0,0.096,0.00211,0,0.283,0.568,84.989,267307
"75",22341,"5CRVwXGikmqzoRO6q7FeAg","If I Could Fly","One Direction",69,"1gMxiQQSg5zeu4htBosASY","Made In The A.M. (Deluxe Edition)","2015-11-13","urban contemporary","4WiB26kw0INKwbzfb5M6Tv","r&b","urban contemporary",0.565,0.245,5,-9.132,1,0.0262,0.781,0,0.0998,0.307,75.055,230320
"76",16271,"7ctdCk91bL7jjDx3hmbB5z","Dancer (Kygo Remix)","Didrik Thulin",54,"74QHgMykIYrqokOQAuIUAY","Dancer (Kygo Remix)","2013-12-17","Tropical House","37i9dQZF1DX0AMssoUKCz7","latin","tropical",0.733,0.555,0,-11.67,0,0.0401,0.0389,0.0254,0.609,0.839,119.999,394045
