"year","month","max_temp"
1925,"jun",16.3
1926,"jun",15
1927,"jun",12.8
1928,"jun",13
1929,"jun",14.4
1930,"jun",16.6
1931,"jun",13.7
1932,"jun",16
1933,"jun",17.7
1934,"jun",16.2
1935,"jun",15.1
1936,"jun",16.7
1937,"jun",15
1938,"jun",14.3
1939,"jun",16.5
1940,"jun",18.8
1941,"jun",16.1
1942,"jun",14.6
1943,"jun",15.4
1944,"jun",14.5
1945,"jun",15.3
1946,"jun",14.5
1947,"jun",15.3
1948,"jun",14.6
1949,"jun",16.4
1950,"jun",16.5
1951,"jun",15.1
1952,"jun",14
1953,"jun",16.1
1954,"jun",14.5
1955,"jun",15.2
1956,"jun",14.4
1957,"jun",16.5
1958,"jun",14.9
1959,"jun",16
1960,"jun",17.3
1961,"jun",14.7
1962,"jun",15.2
1963,"jun",15.8
1964,"jun",14.6
1965,"jun",15.1
1966,"jun",15.6
1967,"jun",15.6
1968,"jun",16.2
1969,"jun",16.1
1970,"jun",17.8
1971,"jun",13.4
1972,"jun",13.1
1973,"jun",15.6
1974,"jun",15.1
1975,"jun",16.1
1976,"jun",16.6
1977,"jun",14.2
1978,"jun",14.9
1979,"jun",15.3
1980,"jun",14.8
1981,"jun",14.1
1982,"jun",15.3
1983,"jun",14.6
1984,"jun",15.2
1985,"jun",13.9
1986,"jun",16.1
1987,"jun",13.1
1988,"jun",16.5
1989,"jun",15.4
1990,"jun",14.7
1991,"jun",13.3
1992,"jun",17
1993,"jun",14.9
1994,"jun",14.4
1995,"jun",16
1996,"jun",15.4
1997,"jun",14.8
1998,"jun",14.3
1999,"jun",14.5
2000,"jun",14.6
2001,"jun",14.4
2002,"jun",15.3
2003,"jun",16.9
2004,"jun",15.6
2005,"jun",16.2
2006,"jun",17
2007,"jun",15.5
2008,"jun",15.3
2009,"jun",16.6
2010,"jun",17
2011,"jun",14.8
2012,"jun",14
2013,"jun",15.7
2014,"jun",16.7
2015,"jun",14.5
1910,"jul",15.6
1911,"jul",17.9
1912,"jul",16.4
1913,"jul",16.4
1914,"jul",16.9
1915,"jul",15.8
1916,"jul",16.1
1917,"jul",17.7
1918,"jul",16.3
1919,"jul",16.1
1920,"jul",14.8
1921,"jul",17.7
1922,"jul",14.3
1923,"jul",16.8
1924,"jul",15.8
1925,"jul",17.7
1926,"jul",17.9
1927,"jul",17.2
1928,"jul",15
1929,"jul",16.5
1930,"jul",16
1931,"jul",15.7
1932,"jul",16.4
1933,"jul",18.7
1934,"jul",18.8
1935,"jul",17.6
1936,"jul",16.6
1937,"jul",16.5
1938,"jul",15.8
1939,"jul",15.7
1940,"jul",15.5
1941,"jul",17.1
1942,"jul",16.2
1943,"jul",16.9
1944,"jul",16.8
1945,"jul",17.6
1946,"jul",16.2
1947,"jul",17.3
1948,"jul",16.6
1949,"jul",17.5
1950,"jul",16.8
1951,"jul",16.4
1952,"jul",17
1953,"jul",15.8
1954,"jul",14.8
1955,"jul",19.8
1956,"jul",16.1
1957,"jul",16.1
1958,"jul",16.8
1959,"jul",17.1
1960,"jul",16.1
1961,"jul",15
1962,"jul",15.2
1963,"jul",15.6
1964,"jul",15.8
1965,"jul",14.1
1966,"jul",15.9
1967,"jul",15.9
1968,"jul",15.2
1969,"jul",17
1970,"jul",14.5
1971,"jul",17.1
1972,"jul",16.8
1973,"jul",16.5
1974,"jul",15.1
1975,"jul",17.1
1976,"jul",18.9
1977,"jul",17.2
1978,"jul",15.2
1979,"jul",15.7
1980,"jul",15.4
1981,"jul",15.7
1982,"jul",17.8
1983,"jul",18.9
1984,"jul",18
1985,"jul",15.9
1986,"jul",15.7
1987,"jul",16.3
1988,"jul",15.3
1989,"jul",18.9
1990,"jul",17.2
1991,"jul",18.1
1992,"jul",16
1993,"jul",14.8
1994,"jul",17.8
1995,"jul",18.6
1996,"jul",16.5
1997,"jul",18
1998,"jul",15.4
1999,"jul",17.8
2000,"jul",16.4
2001,"jul",16.5
2002,"jul",16
2003,"jul",18.6
2004,"jul",16.5
2005,"jul",17.2
2006,"jul",20.3
2007,"jul",16.2
2008,"jul",17.7
2009,"jul",17.7
2010,"jul",16.7
2011,"jul",17
2012,"jul",15.6
2013,"jul",19.8
2014,"jul",19
2015,"jul",15.9
1910,"aug",16
1911,"aug",18
1912,"aug",13.5
1913,"aug",16.6
1914,"aug",17.1
1915,"aug",16.2
1916,"aug",16.9
1917,"aug",16.7
1918,"aug",16.1
1919,"aug",15.7
1920,"aug",14.8
1921,"aug",15
1922,"aug",14.4
1923,"aug",15.1
1924,"aug",14.9
1925,"aug",16.3
1926,"aug",17
1927,"aug",16.7
1928,"aug",15.8
1929,"aug",15.2
1930,"aug",16
1931,"aug",15.7
1932,"aug",16.8
1933,"aug",17.6
1934,"aug",16
1935,"aug",17.3
1936,"aug",17.1
1937,"aug",17.2
1938,"aug",17.3
1939,"aug",17.4
1940,"aug",16
1941,"aug",15.5
1942,"aug",16.1
1943,"aug",15
1944,"aug",17.6
1945,"aug",17.2
1946,"aug",15.5
1947,"aug",20.7
1948,"aug",14.8
1949,"aug",16.8
1950,"aug",16.6
1951,"aug",15.2
1952,"aug",15.9
1953,"aug",16.6
1954,"aug",15
1955,"aug",19.1
1956,"aug",13.9
1957,"aug",15.8
1958,"aug",16.1
1959,"aug",17.8
1960,"aug",16
1961,"aug",15.6
1962,"aug",14.6
1963,"aug",14.6
1964,"aug",15.2
1965,"aug",15.3
1966,"aug",15.1
1967,"aug",16.1
1968,"aug",16.5
1969,"aug",17.3
1970,"aug",16.8
1971,"aug",15.9
1972,"aug",15.5
1973,"aug",16.7
1974,"aug",16
1975,"aug",18.9
1976,"aug",19.1
1977,"aug",16.4
1978,"aug",15.3
1979,"aug",15
1980,"aug",15.9
1981,"aug",16.9
1982,"aug",16.2
1983,"aug",18.3
1984,"aug",18.4
1985,"aug",14.8
1986,"aug",14.1
1987,"aug",15.8
1988,"aug",15.7
1989,"aug",16
1990,"aug",16.9
1991,"aug",17.6
1992,"aug",15.2
1993,"aug",14.9
1994,"aug",15.9
1995,"aug",20.1
1996,"aug",17.3
1997,"aug",19.3
1998,"aug",15.9
1999,"aug",16.8
2000,"aug",17.2
2001,"aug",16.8
2002,"aug",17.6
2003,"aug",18.8
2004,"aug",17.9
2005,"aug",16.9
2006,"aug",16.8
2007,"aug",16
2008,"aug",16.6
2009,"aug",16.9
2010,"aug",16.2
2011,"aug",15.5
2012,"aug",17.3
2013,"aug",17.3
2014,"aug",15.8
2015,"aug",16.7
1910,"sep",14.2
1911,"sep",14.2
1912,"sep",12.5
1913,"sep",14.4
1914,"sep",14.5
1915,"sep",14.5
1916,"sep",13.9
1917,"sep",14.3
1918,"sep",11.6
1919,"sep",13.6
1920,"sep",13.8
1921,"sep",14.3
1922,"sep",13.2
1923,"sep",12.8
1924,"sep",13.4
1925,"sep",12.2
1926,"sep",14.5
1927,"sep",12.8
1928,"sep",13.6
1929,"sep",15
1930,"sep",13.9
1931,"sep",13.3
1932,"sep",13.3
1933,"sep",16.2
1934,"sep",15.2
1935,"sep",13.7
1936,"sep",15
1937,"sep",14
1938,"sep",14.8
1939,"sep",15.3
1940,"sep",13.1
1941,"sep",15.9
1942,"sep",13.7
1943,"sep",13.8
1944,"sep",13.3
1945,"sep",15.4
1946,"sep",14.2
1947,"sep",14.7
1948,"sep",13.8
1949,"sep",16.2
1950,"sep",12.8
1951,"sep",14.6
1952,"sep",11.8
1953,"sep",15
1954,"sep",12.8
1955,"sep",15.4
1956,"sep",14.6
1957,"sep",12.6
1958,"sep",16.3
1959,"sep",16.4
1960,"sep",14.2
1961,"sep",14.9
1962,"sep",12.7
1963,"sep",13.6
1964,"sep",14.2
1965,"sep",13.1
1966,"sep",14.2
1967,"sep",14.4
1968,"sep",14.2
1969,"sep",14.3
1970,"sep",14.1
1971,"sep",15.5
1972,"sep",13.4
1973,"sep",14.1
1974,"sep",12.5
1975,"sep",13.3
1976,"sep",13.4
1977,"sep",13.1
1978,"sep",13.6
1979,"sep",13.7
1980,"sep",14.5
1981,"sep",14.8
1982,"sep",13.7
1983,"sep",13
1984,"sep",13
1985,"sep",13.3
1986,"sep",12.9
1987,"sep",13.8
1988,"sep",13.8
1989,"sep",14.1
1990,"sep",13.3
1991,"sep",15
1992,"sep",13.2
1993,"sep",13.4
1994,"sep",13.4
1995,"sep",14.2
1996,"sep",15.3
1997,"sep",14.6
1998,"sep",15.2
1999,"sep",15.8
2000,"sep",14.9
2001,"sep",13.8
2002,"sep",15.6
2003,"sep",15.5
2004,"sep",15
2005,"sep",15.4
2006,"sep",16.9
2007,"sep",14
2008,"sep",14.4
2009,"sep",15
2010,"sep",14.7
2011,"sep",15.1
2012,"sep",13.5
2013,"sep",14.7
2014,"sep",16.1
2015,"sep",14.7
1910,"oct",11.4
1911,"oct",10
1912,"oct",9.8
1913,"oct",11.6
1914,"oct",11.4
1915,"oct",10.7
1916,"oct",10.5
1917,"oct",8
1918,"oct",10.1
1919,"oct",9.8
1920,"oct",12
1921,"oct",13
1922,"oct",10.2
1923,"oct",9.9
1924,"oct",10.7
1925,"oct",10.9
1926,"oct",8.4
1927,"oct",11.1
1928,"oct",10.7
1929,"oct",9.7
1930,"oct",10.4
1931,"oct",10.5
1932,"oct",9.2
1933,"oct",10.8
1934,"oct",10.5
1935,"oct",9.7
1936,"oct",11
1937,"oct",11
1938,"oct",11
1939,"oct",9.8
1940,"oct",10.5
1941,"oct",11.2
1942,"oct",10.5
1943,"oct",11.8
1944,"oct",10.1
1945,"oct",12.8
1946,"oct",10.4
1947,"oct",12.1
1948,"oct",10.4
1949,"oct",12
1950,"oct",10.3
1951,"oct",11.7
1952,"oct",9.7
1953,"oct",11.5
1954,"oct",11.3
1955,"oct",10.2
1956,"oct",10.6
1957,"oct",11.4
1958,"oct",11.8
1959,"oct",13.6
1960,"oct",10.6
1961,"oct",11.1
1962,"oct",11.5
1963,"oct",11.5
1964,"oct",10.4
1965,"oct",11.5
1966,"oct",10.3
1967,"oct",10.3
1968,"oct",11.9
1969,"oct",13.4
1970,"oct",10.9
1971,"oct",12.2
1972,"oct",12.2
1973,"oct",10.3
1974,"oct",8.8
1975,"oct",11.5
1976,"oct",10.8
1977,"oct",12.4
1978,"oct",12
1979,"oct",11.4
1980,"oct",9.2
1981,"oct",8.1
1982,"oct",10.9
1983,"oct",10.7
1984,"oct",11.2
1985,"oct",11.9
1986,"oct",11.1
1987,"oct",9.7
1988,"oct",10.6
1989,"oct",11.6
1990,"oct",11.3
1991,"oct",10.4
1992,"oct",8.6
1993,"oct",8.9
1994,"oct",10.6
1995,"oct",13
1996,"oct",12
1997,"oct",11.3
1998,"oct",9.9
1999,"oct",11.5
2000,"oct",11.1
2001,"oct",13.1
2002,"oct",9.9
2003,"oct",10.5
2004,"oct",10.5
2005,"oct",12.5
2006,"oct",13
2007,"oct",12.8
2008,"oct",10.4
2009,"oct",11.9
2010,"oct",11.2
2011,"oct",12.2
2012,"oct",9.5
2013,"oct",12.1
2014,"oct",12.1
2015,"oct",12.4
1910,"nov",4.3
1911,"nov",6.2
1912,"nov",6.7
1913,"nov",8.7
1914,"nov",7.5
1915,"nov",4.6
1916,"nov",8
1917,"nov",8.4
1918,"nov",7
1919,"nov",3.7
1920,"nov",8.8
1921,"nov",6.4
1922,"nov",7.7
1923,"nov",4.7
1924,"nov",8.3
1925,"nov",5.6
1926,"nov",6.5
1927,"nov",6.8
1928,"nov",8.1
1929,"nov",7.2
1930,"nov",6.3
1931,"nov",8.6
1932,"nov",7.3
1933,"nov",6.9
1934,"nov",7.1
1935,"nov",7.1
1936,"nov",6.9
1937,"nov",7.2
1938,"nov",8.7
1939,"nov",8.3
1940,"nov",7.4
1941,"nov",7.7
1942,"nov",7.3
1943,"nov",7.2
1944,"nov",6
1945,"nov",8.7
1946,"nov",8.1
1947,"nov",7.2
1948,"nov",8.9
1949,"nov",7.8
1950,"nov",5.9
1951,"nov",8.6
1952,"nov",5.1
1953,"nov",9
1954,"nov",7.5
1955,"nov",8.8
1956,"nov",7.9
1957,"nov",7.7
1958,"nov",8.3
1959,"nov",8.2
1960,"nov",7.4
1961,"nov",6.6
1962,"nov",6.4
1963,"nov",7.1
1964,"nov",8.1
1965,"nov",4.9
1966,"nov",6
1967,"nov",7.3
1968,"nov",6.8
1969,"nov",5
1970,"nov",7
1971,"nov",7.2
1972,"nov",6.9
1973,"nov",6.6
1974,"nov",6.9
1975,"nov",7.3
1976,"nov",7.1
1977,"nov",6.3
1978,"nov",8.7
1979,"nov",7.1
1980,"nov",7
1981,"nov",7.8
1982,"nov",7.5
1983,"nov",8.2
1984,"nov",7.8
1985,"nov",4.9
1986,"nov",8.5
1987,"nov",7
1988,"nov",7.4
1989,"nov",7.2
1990,"nov",6.9
1991,"nov",7.4
1992,"nov",7.3
1993,"nov",6
1994,"nov",9.9
1995,"nov",8.6
1996,"nov",6
1997,"nov",9
1998,"nov",7.3
1999,"nov",8.5
2000,"nov",7.1
2001,"nov",8.8
2002,"nov",8.4
2003,"nov",9.3
2004,"nov",8.7
2005,"nov",7.8
2006,"nov",8.8
2007,"nov",8.6
2008,"nov",7.5
2009,"nov",8.2
2010,"nov",5.6
2011,"nov",10.6
2012,"nov",7.4
2013,"nov",7.3
2014,"nov",9.1
2015,"nov",8.8
1910,"dec",6.6
1911,"dec",6.5
1912,"dec",6.4
1913,"dec",5.7
1914,"dec",4.3
1915,"dec",4.1
1916,"dec",4.3
1917,"dec",4.3
1918,"dec",6.2
1919,"dec",5
1920,"dec",5.2
1921,"dec",7.7
1922,"dec",6.2
1923,"dec",4.7
1924,"dec",7.8
1925,"dec",3.5
1926,"dec",5.9
1927,"dec",2.7
1928,"dec",4.9
1929,"dec",5.9
1930,"dec",5.5
1931,"dec",7.1
1932,"dec",6.6
1933,"dec",4.9
1934,"dec",7.5
1935,"dec",3.4
1936,"dec",6.3
1937,"dec",3.7
1938,"dec",5.4
1939,"dec",4.9
1940,"dec",5.3
1941,"dec",6.9
1942,"dec",7.5
1943,"dec",5.6
1944,"dec",5.2
1945,"dec",6.4
1946,"dec",4.8
1947,"dec",5.7
1948,"dec",6.7
1949,"dec",5.7
1950,"dec",2.3
1951,"dec",6.2
1952,"dec",4.5
1953,"dec",7.4
1954,"dec",6.8
1955,"dec",5.4
1956,"dec",7
1957,"dec",6.1
1958,"dec",5.1
1959,"dec",6
1960,"dec",4.5
1961,"dec",3.3
1962,"dec",5
1963,"dec",4.8
1964,"dec",4.9
1965,"dec",4.2
1966,"dec",5.3
1967,"dec",5.7
1968,"dec",4.8
1969,"dec",4.8
1970,"dec",5.7
1971,"dec",8.1
1972,"dec",6.7
1973,"dec",5.6
1974,"dec",7.5
1975,"dec",7.3
1976,"dec",2.6
1977,"dec",6.5
1978,"dec",4.4
1979,"dec",5.3
1980,"dec",6.5
1981,"dec",1.9
1982,"dec",5.2
1983,"dec",7.1
1984,"dec",6.7
1985,"dec",6
1986,"dec",5.7
1987,"dec",6.3
1988,"dec",8.3
1989,"dec",4.5
1990,"dec",5.7
1991,"dec",6.7
1992,"dec",4.9
1993,"dec",4.3
1994,"dec",6.7
1995,"dec",3.1
1996,"dec",4.3
1997,"dec",6.7
1998,"dec",7.1
1999,"dec",4.7
2000,"dec",5.6
2001,"dec",5.5
2002,"dec",5.5
2003,"dec",6.3
2004,"dec",7.4
2005,"dec",6.4
2006,"dec",7
2007,"dec",6.3
2008,"dec",5.3
2009,"dec",3.6
2010,"dec",1.7
2011,"dec",6
2012,"dec",5
2013,"dec",7.6
2014,"dec",6
2015,"dec",8.3
